,eco_code,opening
422,E22,"Nimzo-Indian, Spielmann Variation"
423,E23,"Nimzo-Indian, Spielmann, 4...c5, 5.dc Nc6"
424,E24,"Nimzo-Indian, Saemisch variation"
425,E25,"Nimzo-Indian, Saemisch variation, Keres variation"
426,E26,"Nimzo-Indian, Saemisch variation, 4.a3 Bxc3+ 5.bxc3 c5 6.e3"
427,E27,"Nimzo-Indian, Saemisch variation, 5...0-0"
428,E28,"Nimzo-Indian, Saemisch variation, 6.e3"
429,E29,"Nimzo-Indian, Saemisch variation, Main line"
430,E30,"Nimzo-Indian, Leningrad variation,"
431,E31,"Nimzo-Indian, Leningrad variation, main line"
432,E32,"Nimzo-Indian, Classical variation"
433,E33,"Nimzo-Indian, Classical variation, 4...Nc6"
434,E34,"Nimzo-Indian, Classical, Noa variation"
435,E35,"Nimzo-Indian, Classical, Noa variation, 5.cxd5 exd5"
436,E36,"Nimzo-Indian, Classical, Noa variation, 5.a3"
437,E37,"Nimzo-Indian, Classical, Noa variation, Main line, 7.Qc2"
438,E38,"Nimzo-Indian, Classical, 4...c5"
439,E39,"Nimzo-Indian, Classical, Pirc variation"
440,E40,"Nimzo-Indian, 4.e3"
441,E41,"Nimzo-Indian, 4.e3 c5"
442,E42,"Nimzo-Indian, 4.e3 c5, 5.Ne2 (Rubinstein)"
443,E43,"Nimzo-Indian, Fischer variation"
444,E44,"Nimzo-Indian, Fischer variation, 5.Ne2"
445,E45,"Nimzo-Indian, 4.e3, Bronstein (Byrne) variation"
446,E46,"Nimzo-Indian, 4.e3 O-O"
447,E47,"Nimzo-Indian, 4.e3 O-O, 5.Bd3"
448,E48,"Nimzo-Indian, 4.e3 O-O, 5.Bd3 d5"
449,E49,"Nimzo-Indian, 4.e3, Botvinnik system"
450,E50,"Nimzo-Indian, 4.e3 e8g8, 5.Nf3, without ...d5"
451,E51,"Nimzo-Indian, 4.e3 e8g8, 5.Nf3 d7d5"
452,E52,"Nimzo-Indian, 4.e3, Main line with ...b6"
453,E53,"Nimzo-Indian, 4.e3, Main line with ...c5"
454,E54,"Nimzo-Indian, 4.e3, Gligoric system with 7...dc"
455,E55,"Nimzo-Indian, 4.e3, Gligoric system, Bronstein variation"
456,E56,"Nimzo-Indian, 4.e3, Main line with 7...Nc6"
457,E57,"Nimzo-Indian, 4.e3, Main line with 8...dxc4 and 9...Bxc4 cxd4"
458,E58,"Nimzo-Indian, 4.e3, Main line with 8...Bxc3"
459,E59,"Nimzo-Indian, 4.e3, Main line"
460,E60,King's Indian Defence
461,E61,"King's Indian Defence, 3.Nc3"
462,E62,"King's Indian, Fianchetto variation"
463,E63,"King's Indian, Fianchetto, Panno variation"
464,E64,"King's Indian, Fianchetto, Yugoslav system"
465,E65,"King's Indian, Yugoslav, 7.O-O"
466,E66,"King's Indian, Fianchetto, Yugoslav Panno"
467,E67,"King's Indian, Fianchetto with ...Nd7"
468,E68,"King's Indian, Fianchetto, Classical variation, 8.e4"
469,E69,"King's Indian, Fianchetto, Classical Main line"
470,E70,"King's Indian, 4.e4"
471,E71,"King's Indian, Makogonov system (5.h3)"
472,E72,King's Indian with e4 & g3
473,E73,"King's Indian, 5.Be2"
474,E74,"King's Indian, Averbakh, 6...c5"
475,E75,"King's Indian, Averbakh, Main line"
476,E76,"King's Indian Defence, Four Pawns Attack"
477,E77,"King's Indian, Four pawns attack, 6.Be2"
478,E78,"King's Indian, Four pawns attack, with Be2 and Nf3"
479,E79,"King's Indian, Four pawns attack, Main line"
480,E80,"King's Indian, Sämisch variation"
481,E81,"King's Indian, Sämisch, 5...O-O"
482,E82,"King's Indian, Sämisch, double Fianchetto variation"
483,E83,"King's Indian, Sämisch, 6...Nc6"
484,E84,"King's Indian, Sämisch, Panno Main line"
485,E85,"King's Indian, Sämisch, Orthodox variation"
486,E86,"King's Indian, Sämisch, Orthodox, 7.Nge2 c6"
487,E87,"King's Indian, Sämisch, Orthodox, 7.d5"
488,E88,"King's Indian, Sämisch, Orthodox, 7.d5 c6"
489,E89,"King's Indian, Sämisch, Orthodox Main line"
490,E90,"King's Indian, 5.Nf3"
491,E91,"King's Indian, 6.Be2"
492,E92,"King's Indian, Classical variation"
493,E93,"King's Indian, Petrosian system, Main line"
494,E94,"King's Indian, Orthodox variation"
495,E95,"King's Indian, Orthodox, 7...Nbd7, 8.Re1"
496,E96,"King's Indian, Orthodox, 7...Nbd7, Main line"
497,E97,"King's Indian, Orthodox, Aronin-Taimanov variation (Yugoslav attack / Mar del Plata variation)"
498,E98,"King's Indian, Orthodox, Aronin-Taimanov, 9.Ne1"
499,E99,"King's Indian, Orthodox, Aronin-Taimanov, Main"
